Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 8,True,BOS,"W,6-5",46,39,6,9,1,0,3,6,4,2,15,2,0,1,0,0,0,0,0.231,0.326,0.487,0.813,12,12,R,N.Eovaldi(51),0.23076923076923078,0.32608695652173914,0.48717948717948717,0.8132664437012262
2,Apr 9,True,BOS,"W,4-2",30,27,4,4,0,0,2,4,3,0,5,0,0,0,0,0,0,0,0.197,0.289,0.439,0.729,2,10,R,N.Pivetta(46),0.14814814814814814,0.23333333333333334,0.37037037037037035,0.6037037037037036
3,Apr 10,True,BOS,"L,3-4",41,36,3,11,2,0,0,3,4,0,9,1,0,0,0,2,1,0,0.235,0.325,0.412,0.737,11,11,R,T.Houck(36),0.3055555555555556,0.3902439024390244,0.3611111111111111,0.7513550135501355
4,Apr 11,True,TOR,"L,0-3",35,29,0,4,0,0,0,0,5,0,9,1,0,0,0,2,0,0,0.214,0.316,0.351,0.667,8,10,R,A.Manoah(73),0.13793103448275862,0.2857142857142857,0.13793103448275862,0.4236453201970443
5,Apr 12,True,TOR,"W,4-0",33,28,4,7,4,0,1,3,3,0,5,1,0,1,0,1,0,0,0.22,0.319,0.377,0.696,5,10,L,Y.Kikuchi(40),0.25,0.3333333333333333,0.5,0.8333333333333333
6,Apr 13,True,TOR,"L,4-6",39,36,4,10,2,0,3,4,3,0,9,0,0,0,0,1,0,0,0.231,0.321,0.415,0.737,8,11,R,J.Berríos(45),0.2777777777777778,0.3333333333333333,0.5833333333333334,0.9166666666666667
7,Apr 14,True,TOR,"W,3-0",32,31,3,8,2,0,0,3,1,0,10,0,0,0,0,1,1,0,0.235,0.316,0.403,0.719,5,10,R,K.Gausman(58),0.25806451612903225,0.28125,0.3225806451612903,0.6038306451612903
8,Apr 15,False,BAL,"L,1-2",40,37,1,7,1,0,0,1,2,0,13,1,0,0,0,2,0,0,0.228,0.307,0.376,0.684,8,12,R,J.Lyles(54),0.1891891891891892,0.25,0.21621621621621623,0.46621621621621623
9,Apr 16,False,BAL,"W,5-2",43,35,5,11,3,0,1,4,5,0,7,1,1,0,0,0,0,1,0.238,0.32,0.389,0.71,11,9,R,T.Wells(57),0.3142857142857143,0.3953488372093023,0.4857142857142857,0.881063122923588
10,Apr 17,False,BAL,"L,0-5",34,30,0,4,0,0,0,0,3,0,10,0,1,0,1,1,0,0,0.229,0.311,0.366,0.677,7,11,L,B.Zimmermann(63),0.13333333333333333,0.20588235294117646,0.13333333333333333,0.3392156862745098
11,Apr 19,False,DET,"W,4-2",42,33,4,6,0,0,0,2,8,0,13,0,0,1,1,0,4,0,0.224,0.313,0.349,0.662,11,9,L,T.Alexander(47),0.18181818181818182,0.3333333333333333,0.18181818181818182,0.5151515151515151
12,Apr 20,False,DET,"W,5-3",36,33,5,6,3,0,1,5,2,0,7,0,1,0,0,0,1,1,0.221,0.306,0.35,0.657,4,11,L,E.Rodríguez(56),0.18181818181818182,0.2222222222222222,0.36363636363636365,0.5858585858585859
13,Apr 21,False,DET,"L,0-3",34,33,0,7,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0.22,0.301,0.342,0.643,7,13,R,M.Pineda(63),0.21212121212121213,0.23529411764705882,0.24242424242424243,0.47771836007130125
14,Apr 22,True,CLE,"W,4-1",35,31,4,7,0,0,2,4,4,0,9,0,0,0,0,0,0,0,0.221,0.302,0.347,0.649,7,10,R,E.Morgan(52),0.22580645161290322,0.3142857142857143,0.41935483870967744,0.7336405529953918
15,Apr 23,True,CLE,"W,5-4",36,31,5,9,1,0,1,5,4,0,6,0,0,1,0,1,1,1,0.225,0.306,0.352,0.658,5,11,R,C.Quantrill(48),0.2903225806451613,0.3611111111111111,0.41935483870967744,0.7804659498207885
16,Apr 24,True,CLE,"W,10-2",40,35,10,13,5,0,3,10,3,0,9,1,0,1,0,1,1,0,0.235,0.314,0.38,0.694,6,11,R,A.Civale(23),0.37142857142857144,0.425,0.7714285714285715,1.1964285714285714
17,Apr 26,True,BAL,"W,12-8",40,38,12,13,1,1,5,12,2,0,9,0,0,0,1,0,0,0,0.242,0.318,0.409,0.727,4,10,R,J.Lyles(28),0.34210526315789475,0.375,0.8157894736842105,1.1907894736842106
18,Apr 27,True,BAL,"W,5-2",34,31,5,8,0,0,2,4,2,0,9,0,0,1,0,0,1,0,0.243,0.317,0.411,0.728,5,10,R,T.Wells(57),0.25806451612903225,0.29411764705882354,0.45161290322580644,0.74573055028463
19,Apr 28,True,BAL,"W,10-5",40,34,10,12,3,0,1,9,4,0,9,1,0,1,2,2,1,1,0.249,0.323,0.418,0.741,6,9,L,B.Zimmermann(39),0.35294117647058826,0.425,0.5294117647058824,0.9544117647058823
20,Apr 29,False,KCR,"W,12-2",39,36,12,10,2,0,4,11,2,0,7,1,0,0,1,0,0,0,0.25,0.323,0.431,0.755,3,12,L,K.Bubic(50),0.2777777777777778,0.3333333333333333,0.6666666666666666,1.0
21,Apr 30,False,KCR,"W,3-0",40,30,3,8,1,0,0,2,8,1,5,0,0,2,0,1,0,2,0.251,0.327,0.426,0.753,10,10,R,C.Hernández(42),0.26666666666666666,0.4,0.3,0.7
22,May 1,False,KCR,"W,6-4",40,34,6,8,1,0,2,6,5,1,7,1,0,0,0,1,0,0,0.25,0.328,0.426,0.755,7,12,L,D.Lynch(50),0.23529411764705882,0.35,0.4411764705882353,0.7911764705882353
23,May 2,False,TOR,"W,3-2",35,35,3,8,1,0,1,3,0,0,6,0,0,0,0,0,3,0,0.249,0.324,0.423,0.747,5,10,R,R.Stripling(45),0.22857142857142856,0.22857142857142856,0.34285714285714286,0.5714285714285714
24,May 3,False,TOR,"W,9-1",41,38,9,10,4,0,2,9,3,0,12,0,0,0,1,0,0,1,0.25,0.324,0.428,0.752,5,10,R,A.Manoah(68),0.2631578947368421,0.3170731707317073,0.5263157894736842,0.8433889602053914
25,May 4,False,TOR,"L,1-2",35,31,1,5,1,0,1,1,4,0,10,0,0,0,0,1,0,0,0.247,0.322,0.422,0.744,7,13,L,Y.Kikuchi(68),0.16129032258064516,0.2571428571428571,0.2903225806451613,0.5474654377880184
26,May 8 (1),True,TEX,"W,2-1",34,29,2,5,0,0,1,2,3,0,6,0,1,1,3,1,0,0,0.244,0.319,0.417,0.736,8,9,R,D.Dunning(66),0.1724137931034483,0.23529411764705882,0.27586206896551724,0.511156186612576
27,May 8 (2),True,TEX,"L,2-4",36,29,2,3,0,0,1,2,6,0,6,1,0,0,0,1,3,0,0.24,0.317,0.411,0.728,7,12,R,G.Otto(54),0.10344827586206896,0.2777777777777778,0.20689655172413793,0.4846743295019157
28,May 9,True,TEX,"W,1-0",31,27,1,5,1,0,0,1,4,0,9,0,0,0,0,1,0,0,0.238,0.317,0.405,0.722,6,10,R,J.Gray(60),0.18518518518518517,0.2903225806451613,0.2222222222222222,0.5125448028673836
29,May 10,True,TOR,"W,6-5",38,30,6,5,1,0,2,6,7,0,10,1,0,0,0,0,0,0,0.236,0.318,0.405,0.722,7,11,L,Y.Kikuchi(60),0.16666666666666666,0.34210526315789475,0.4,0.7421052631578948
30,May 11,True,TOR,"W,5-3",33,32,5,8,1,0,1,5,1,0,6,0,0,0,0,0,0,0,0.236,0.316,0.404,0.72,4,9,R,J.Berríos(41),0.25,0.2727272727272727,0.375,0.6477272727272727
31,May 12,False,CHW,"W,15-7",48,40,15,15,2,1,4,15,7,0,14,0,0,1,0,1,0,0,0.242,0.322,0.418,0.741,6,12,R,D.Cease(35),0.375,0.4583333333333333,0.775,1.2333333333333334
32,May 13,False,CHW,"W,10-4",44,39,10,14,2,0,4,10,4,0,7,0,0,1,0,0,1,0,0.246,0.325,0.43,0.755,7,10,R,V.Velasquez(24),0.358974358974359,0.4090909090909091,0.717948717948718,1.127039627039627
33,May 14,False,CHW,"L,2-3",37,32,2,9,1,0,0,2,4,0,8,0,0,1,0,2,3,0,0.247,0.326,0.426,0.752,8,10,L,D.Keuchel(59),0.28125,0.35135135135135137,0.3125,0.6638513513513513
34,May 15,False,CHW,"W,5-1",34,29,5,2,0,0,1,4,5,0,6,0,0,0,0,0,0,0,0.242,0.323,0.419,0.742,2,9,R,M.Kopech(57),0.06896551724137931,0.20588235294117646,0.1724137931034483,0.37829614604462475
35,May 16,False,BAL,"W,6-2",42,37,6,11,1,0,3,6,5,0,10,0,0,0,0,0,0,0,0.244,0.325,0.424,0.749,9,9,R,K.Bradish(34),0.2972972972972973,0.38095238095238093,0.5675675675675675,0.9485199485199485
36,May 17,False,BAL,"W,5-4",43,37,5,11,4,0,2,4,4,0,3,2,0,0,1,1,0,0,0.246,0.327,0.429,0.756,11,10,R,S.Watkins(44),0.2972972972972973,0.3953488372093023,0.5675675675675675,0.9629164047768699
37,May 18,False,BAL,"W,3-2",34,33,3,6,2,0,0,1,1,0,10,0,0,0,0,0,0,0,0.244,0.324,0.424,0.748,4,9,R,J.Lyles(65),0.18181818181818182,0.20588235294117646,0.24242424242424243,0.4483065953654189
38,May 19,False,BAL,"L,6-9",40,34,6,10,1,0,1,6,6,0,8,0,0,0,0,3,1,0,0.245,0.326,0.423,0.749,7,12,L,B.Zimmermann(34),0.29411764705882354,0.4,0.4117647058823529,0.8117647058823529
39,May 21,True,CHW,"W,7-5",37,30,7,8,0,0,1,7,6,1,3,0,0,1,0,1,0,0,0.246,0.327,0.422,0.749,6,9,L,D.Keuchel(23),0.26666666666666666,0.3783783783783784,0.36666666666666664,0.745045045045045
40,May 22 (1),True,CHW,"L,1-3",36,33,1,8,1,0,1,1,3,1,9,0,0,0,0,0,0,0,0.246,0.327,0.421,0.747,8,10,R,J.Cueto(63),0.24242424242424243,0.3055555555555556,0.36363636363636365,0.6691919191919192
41,May 22 (2),True,CHW,"L,0-5",32,30,0,3,2,0,0,0,2,0,7,0,0,0,0,0,0,0,0.243,0.323,0.415,0.738,5,9,R,M.Kopech(79),0.1,0.15625,0.16666666666666666,0.32291666666666663
42,May 23,True,BAL,"L,4-6",36,31,4,5,0,0,2,4,4,0,9,1,0,0,0,2,0,0,0.241,0.322,0.414,0.736,5,10,R,J.Lyles(56),0.16129032258064516,0.2777777777777778,0.3548387096774194,0.6326164874551972
43,May 24,True,BAL,"W,7-6",45,40,7,11,0,0,4,7,4,1,12,1,0,0,0,2,0,0,0.242,0.323,0.418,0.741,9,10,L,B.Zimmermann(50),0.275,0.35555555555555557,0.575,0.9305555555555556
44,May 25,True,BAL,"W,2-0",30,30,2,6,1,0,0,1,0,0,5,0,0,0,0,0,1,0,0.241,0.321,0.414,0.735,4,9,R,T.Wells(51),0.2,0.2,0.23333333333333334,0.43333333333333335
45,May 26,False,TBR,"W,7-2",39,32,7,6,1,0,0,4,5,0,6,1,0,1,0,0,1,0,0.24,0.321,0.41,0.731,5,9,L,R.Yarbrough(58),0.1875,0.3076923076923077,0.21875,0.5264423076923077
46,May 27,False,TBR,"W,2-0",34,33,2,6,1,0,2,2,1,0,10,0,0,0,0,0,0,0,0.238,0.318,0.41,0.728,5,9,L,J.Springs(60),0.18181818181818182,0.20588235294117646,0.3939393939393939,0.5998217468805704
47,May 28,False,TBR,"L,1-3",29,28,1,4,1,0,0,1,0,0,9,0,0,1,0,1,0,0,0.237,0.315,0.406,0.721,1,11,R,C.Kluber(67),0.14285714285714285,0.13793103448275862,0.17857142857142858,0.31650246305418717
48,May 29,False,TBR,"L,2-4",36,36,2,9,0,0,2,2,0,0,9,0,0,0,1,1,1,0,0.237,0.314,0.406,0.72,7,11,L,S.McClanahan(61),0.25,0.25,0.4166666666666667,0.6666666666666667
49,May 31,True,LAA,"W,9-1",38,34,9,13,4,0,2,9,3,0,5,0,0,1,0,1,1,1,0.24,0.316,0.412,0.728,5,9,R,N.Syndergaard(22),0.38235294117647056,0.42105263157894735,0.6764705882352942,1.0975232198142415
50,Jun 2 (1),True,LAA,"W,6-1",38,35,6,13,2,0,4,6,2,1,6,0,0,1,0,1,0,0,0.243,0.318,0.419,0.737,8,10,R,S.Ohtani(28),0.37142857142857144,0.39473684210526316,0.7714285714285715,1.1661654135338346
51,Jun 2 (2),True,LAA,"W,2-1",36,30,2,7,2,0,0,2,6,0,9,0,0,0,0,0,3,1,0.243,0.319,0.417,0.736,10,11,L,R.Detmers(54),0.23333333333333334,0.3611111111111111,0.3,0.6611111111111111
52,Jun 3,True,DET,"W,13-0",41,35,13,15,3,1,4,13,5,0,7,1,0,0,0,2,0,0,0.247,0.323,0.427,0.75,4,9,R,E.Rodríguez(3),0.42857142857142855,0.5121951219512195,0.9142857142857143,1.4264808362369337
53,Jun 4,True,DET,"W,3-0",31,27,3,4,1,0,2,3,3,0,9,0,0,1,0,0,0,0,0.245,0.321,0.427,0.748,4,9,R,B.Brieske(64),0.14814814814814814,0.22580645161290322,0.4074074074074074,0.6332138590203106
54,Jun 5,True,DET,"W,5-4",40,34,5,7,1,0,1,5,4,1,9,1,0,1,0,0,2,0,0.244,0.321,0.425,0.746,8,13,R,R.García(54),0.20588235294117646,0.3,0.3235294117647059,0.6235294117647059
55,Jun 7,False,MIN,"W,10-4",50,41,10,14,0,0,3,10,9,1,10,0,0,0,0,0,0,0,0.246,0.324,0.428,0.752,13,9,R,C.Sands(30),0.34146341463414637,0.46,0.5609756097560976,1.0209756097560976
56,Jun 8,False,MIN,"L,1-8",33,28,1,5,1,0,0,1,4,0,7,0,0,1,0,4,0,0,0.245,0.323,0.425,0.748,5,10,R,C.Archer(57),0.17857142857142858,0.2727272727272727,0.21428571428571427,0.487012987012987
57,Jun 9,False,MIN,"W,10-7",45,39,10,14,2,0,4,9,5,0,6,0,0,1,1,1,2,0,0.248,0.326,0.431,0.756,8,11,R,D.Bundy(36),0.358974358974359,0.4222222222222222,0.717948717948718,1.1401709401709401
58,Jun 10,True,CHC,"W,2-1",53,44,2,6,1,0,1,2,8,4,12,1,0,0,0,0,0,0,0.245,0.324,0.426,0.751,17,13,L,W.Miley(54),0.13636363636363635,0.2830188679245283,0.22727272727272727,0.5102915951972555
59,Jun 11,True,CHC,"W,8-0",36,34,8,11,0,0,6,8,1,0,7,0,0,1,0,0,0,0,0.247,0.325,0.434,0.758,4,10,R,M.Swarmer(33),0.3235294117647059,0.3333333333333333,0.8529411764705882,1.1862745098039216
60,Jun 12,True,CHC,"W,18-4",48,41,18,17,4,0,4,18,7,0,7,0,0,0,1,0,0,0,0.25,0.328,0.441,0.769,6,9,R,K.Thompson(27),0.4146341463414634,0.5,0.8048780487804879,1.3048780487804879
