Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
17,17,17,17,18,Apr 20,True,NYM,"L,4-9",37,33,4,7,0,0,2,3,4,0,5,0,0,0,0,1,1,0,0.238,0.321,0.42,0.74,6,9,R,K.Senga(41),0.21212121212121213,0.2972972972972973,0.3939393939393939,0.6912366912366912
18,18,18,18,19,Apr 21,True,NYM,"L,0-7",31,29,0,5,1,0,0,0,2,0,12,0,0,0,0,3,0,0,0.235,0.317,0.41,0.727,4,9,L,J.Lucchesi(76),0.1724137931034483,0.22580645161290322,0.20689655172413793,0.43270300333704115
19,19,19,19,20,Apr 22,True,NYM,"W,7-4",36,31,7,7,1,0,2,7,3,0,11,1,0,1,1,0,1,1,0.235,0.316,0.412,0.728,5,10,L,D.Peterson(32),0.22580645161290322,0.3055555555555556,0.45161290322580644,0.7571684587813621
20,20,20,20,21,Apr 23,True,NYM,"W,5-4",35,31,5,8,2,0,1,5,2,0,10,2,0,0,0,1,1,0,0.236,0.317,0.412,0.73,6,12,R,T.Megill(35),0.25806451612903225,0.34285714285714286,0.41935483870967744,0.7622119815668202
21,21,21,21,22,Apr 24,True,STL,"W,4-0",36,32,4,8,1,0,1,4,2,1,10,1,0,1,1,0,0,0,0.236,0.317,0.411,0.728,8,12,L,J.Montgomery(65),0.25,0.3055555555555556,0.375,0.6805555555555556
22,22,22,22,23,Apr 25,True,STL,"W,5-4",35,33,5,9,1,0,2,4,2,0,9,0,0,0,0,1,1,0,0.238,0.317,0.414,0.731,4,9,R,J.Woodford(53),0.2727272727272727,0.3142857142857143,0.48484848484848486,0.7991341991341991
23,23,23,23,24,Apr 26,True,STL,"W,7-3",43,38,7,13,2,1,2,6,5,0,11,0,0,0,1,0,3,0,0.243,0.322,0.423,0.744,12,10,L,S.Matz(42),0.34210526315789475,0.4186046511627907,0.6052631578947368,1.0238678090575275
24,24,24,24,25,Apr 27,True,STL,"L,0-6",37,33,0,6,2,0,0,0,3,0,10,1,0,0,0,0,2,0,0.24,0.32,0.416,0.735,10,10,R,M.Mikolas(69),0.18181818181818182,0.2702702702702703,0.24242424242424243,0.5126945126945127
25,25,25,25,26,Apr 29,False,SDP,"L,11-16",45,39,11,13,4,0,5,11,5,0,12,1,0,0,0,0,0,0,0.244,0.324,0.433,0.757,7,11,R,J.Musgrove(22),0.3333333333333333,0.4222222222222222,0.8205128205128205,1.2427350427350428
26,26,26,26,27,Apr 30,False,SDP,"L,4-6",37,36,4,9,1,0,3,4,0,0,11,1,0,0,1,0,0,1,0.245,0.322,0.437,0.759,6,12,R,Y.Darvish(47),0.25,0.2702702702702703,0.5277777777777778,0.7980480480480481
27,27,27,27,28,May 1,False,HOU,"L,3-7",35,32,3,5,0,0,2,3,3,0,9,0,0,0,0,0,0,0,0.242,0.319,0.434,0.753,5,9,R,L.García(48),0.15625,0.22857142857142856,0.34375,0.5723214285714285
28,28,28,28,29,May 2,False,HOU,"W,2-0",39,29,2,7,1,0,0,2,9,0,7,0,1,0,0,2,1,2,0.242,0.323,0.429,0.752,10,11,R,H.Brown(46),0.2413793103448276,0.41025641025641024,0.27586206896551724,0.6861184792219275
29,29,29,29,30,May 3,False,HOU,"W,4-2",34,30,4,7,1,0,1,4,2,0,12,1,1,0,0,3,1,0,0.241,0.322,0.427,0.75,3,12,L,F.Valdez(60),0.23333333333333334,0.29411764705882354,0.36666666666666664,0.6607843137254902
30,30,30,30,31,May 5,True,MIL,"W,6-4",35,29,6,5,0,0,2,6,6,0,8,0,0,0,1,0,2,0,0.24,0.322,0.426,0.748,5,10,R,C.Burnes(52),0.1724137931034483,0.3142857142857143,0.3793103448275862,0.6935960591133005
31,31,31,31,32,May 6,True,MIL,"W,4-1",31,30,4,6,1,0,2,4,1,0,5,0,0,0,0,0,0,0,0.238,0.319,0.426,0.746,3,9,R,C.Rea(55),0.2,0.22580645161290322,0.43333333333333335,0.6591397849462366
32,32,32,32,33,May 7,True,MIL,"L,3-7",40,39,3,13,2,0,1,3,1,0,14,0,0,0,0,1,0,0,0.242,0.32,0.428,0.748,10,11,R,A.Houser(46),0.3333333333333333,0.35,0.46153846153846156,0.8115384615384615
33,33,33,33,34,May 8,True,WSN,"L,1-5",33,29,1,6,1,0,1,1,3,0,6,1,0,0,0,4,0,0,0.241,0.32,0.425,0.745,5,10,R,J.Irvin(67),0.20689655172413793,0.30303030303030304,0.3448275862068966,0.6478578892371996
34,34,34,34,35,May 9,True,WSN,"W,4-1",38,35,4,10,1,0,1,4,3,0,5,0,0,0,1,0,1,0,0.242,0.321,0.425,0.745,10,12,L,P.Corbin(49),0.2857142857142857,0.34210526315789475,0.4,0.7421052631578948
35,35,35,35,36,May 10,True,WSN,"L,6-11",39,34,6,8,2,0,2,6,5,0,4,0,0,0,0,0,0,0,0.242,0.321,0.426,0.747,6,10,R,J.Gray(58),0.23529411764705882,0.3333333333333333,0.47058823529411764,0.803921568627451
36,36,36,36,37,May 11,False,ARI,"W,6-2",38,33,6,8,1,0,1,6,3,0,3,1,0,1,0,1,1,1,0.242,0.321,0.424,0.745,5,9,L,T.Henry(56),0.24242424242424243,0.3157894736842105,0.36363636363636365,0.6794258373205742
37,37,37,37,38,May 12,False,ARI,"L,5-7",40,37,5,11,4,0,2,5,2,0,7,1,0,0,0,0,0,0,0.244,0.322,0.428,0.75,8,14,R,R.Nelson(37),0.2972972972972973,0.35,0.5675675675675675,0.9175675675675675
38,38,38,38,39,May 13,False,ARI,"L,2-7",35,32,2,7,2,0,0,2,2,0,7,0,0,1,0,0,0,1,0.243,0.32,0.425,0.745,6,10,R,Z.Gallen(65),0.21875,0.2571428571428571,0.28125,0.5383928571428571
39,39,39,39,40,May 14,False,ARI,"L,1-2",33,30,1,3,2,0,1,1,3,0,12,0,0,0,0,0,0,0,0.24,0.317,0.421,0.738,5,9,R,B.Pfaadt(63),0.1,0.18181818181818182,0.26666666666666666,0.4484848484848485
40,40,40,40,41,May 15,True,PHI,"W,6-3",37,34,6,10,2,1,1,6,2,0,8,0,0,1,0,0,0,0,0.241,0.317,0.423,0.741,7,10,R,C.Brogdon(48),0.29411764705882354,0.32432432432432434,0.5,0.8243243243243243
41,41,41,41,42,May 16,True,PHI,"W,4-3",35,34,4,10,1,0,0,4,1,0,11,0,0,0,0,0,0,0,0.242,0.317,0.421,0.738,7,10,R,Z.Wheeler(45),0.29411764705882354,0.3142857142857143,0.3235294117647059,0.6378151260504201
42,42,42,42,43,May 17,True,PHI,"W,7-4",41,35,7,11,0,0,0,7,5,0,8,1,0,0,0,0,0,0,0.244,0.32,0.418,0.738,10,13,R,T.Walker(27),0.3142857142857143,0.4146341463414634,0.3142857142857143,0.7289198606271776
43,43,43,43,44,May 19,True,MIA,"W,4-3",34,27,4,5,1,0,0,4,5,1,8,0,0,2,0,0,0,0,0.243,0.319,0.415,0.734,6,12,R,S.Alcántara(45),0.18518518518518517,0.29411764705882354,0.2222222222222222,0.5163398692810457
44,44,44,44,45,May 20,True,MIA,"L,0-1",31,29,0,3,0,0,0,0,1,0,10,0,0,0,0,1,1,0,0.24,0.316,0.409,0.725,4,9,L,B.Garrett(78),0.10344827586206896,0.12903225806451613,0.10344827586206896,0.23248053392658508
45,45,45,45,46,May 21,True,MIA,"W,7-5",35,32,7,9,3,0,2,7,2,0,10,0,1,0,0,0,2,0,0.241,0.316,0.412,0.728,4,10,L,J.Luzardo(38),0.28125,0.3142857142857143,0.5625,0.8767857142857143
46,46,46,46,47,May 22,False,MIN,"W,4-1",38,33,4,5,3,0,1,4,5,0,10,0,0,0,2,0,0,0,0.239,0.315,0.41,0.725,7,11,R,B.Ober(44),0.15151515151515152,0.2631578947368421,0.3333333333333333,0.5964912280701754
47,47,47,47,48,May 23,False,MIN,"W,4-3",41,37,4,10,3,0,1,4,4,0,12,0,0,0,0,0,0,0,0.24,0.315,0.411,0.726,10,12,R,S.Gray(51),0.2702702702702703,0.34146341463414637,0.43243243243243246,0.7738958470665789
48,48,48,48,49,May 24,False,MIN,"L,1-7",43,39,1,10,4,0,0,1,4,0,14,0,0,0,1,0,0,0,0.24,0.316,0.41,0.725,15,10,R,J.Ryan(53),0.2564102564102564,0.32558139534883723,0.358974358974359,0.6845557543231962
49,49,49,49,50,May 25,False,MIL,"W,5-0",41,38,5,11,2,0,1,5,2,0,11,1,0,0,0,0,4,0,0.242,0.316,0.41,0.726,9,10,R,J.Teherán(59),0.2894736842105263,0.34146341463414637,0.42105263157894735,0.7625160462130938
50,50,50,50,51,May 26,False,MIL,"W,15-1",49,48,15,19,6,0,3,15,1,0,13,0,0,0,1,0,0,0,0.246,0.319,0.418,0.737,7,10,R,F.Peralta(16),0.3958333333333333,0.40816326530612246,0.7083333333333334,1.116496598639456
51,51,51,51,52,May 27,False,MIL,"W,3-1",36,32,3,6,0,0,1,3,3,0,12,0,0,1,0,0,0,0,0.245,0.317,0.416,0.733,6,9,R,C.Burnes(70),0.1875,0.25,0.28125,0.53125
52,52,52,52,53,May 28,False,MIL,"L,5-7",36,32,5,7,1,0,2,5,1,0,11,1,1,1,0,0,0,0,0.244,0.316,0.416,0.732,4,11,R,C.Rea(52),0.21875,0.25,0.4375,0.6875
53,53,53,53,54,May 29,True,PIT,"W,14-4",47,43,14,18,6,0,2,14,4,0,3,0,0,0,1,0,2,0,0.248,0.32,0.423,0.742,9,11,L,R.Hill(32),0.4186046511627907,0.46808510638297873,0.6976744186046512,1.1657595249876298
54,54,54,54,55,May 30,True,PIT,"L,1-2",37,30,1,5,1,0,0,1,7,0,9,0,0,0,0,1,0,0,0.247,0.32,0.419,0.739,9,12,R,J.Oviedo(53),0.16666666666666666,0.32432432432432434,0.2,0.5243243243243243
55,55,55,55,56,May 31,True,PIT,"L,4-9",37,35,4,12,1,1,0,3,1,0,11,0,0,1,0,3,0,0,0.249,0.32,0.419,0.74,6,10,R,M.Keller(43),0.34285714285714286,0.35135135135135137,0.42857142857142855,0.7799227799227799
56,56,56,56,57,Jun 2,True,BAL,"L,2-3",34,30,2,6,3,0,1,2,3,0,12,1,0,0,0,2,0,0,0.248,0.32,0.419,0.739,5,12,R,D.Kremer(58),0.2,0.29411764705882354,0.4,0.6941176470588235
57,57,57,57,58,Jun 3,True,BAL,"W,4-0",39,35,4,10,4,0,0,4,4,0,11,0,0,0,0,0,0,0,0.249,0.321,0.419,0.739,11,11,R,K.Bradish(40),0.2857142857142857,0.358974358974359,0.4,0.7589743589743589
58,58,58,58,59,Jun 4,True,BAL,"L,3-8",34,31,3,5,1,0,1,3,3,0,11,0,0,0,0,1,0,0,0.247,0.319,0.417,0.736,4,9,R,T.Wells(59),0.16129032258064516,0.23529411764705882,0.2903225806451613,0.5256166982922201
59,59,59,59,60,Jun 6,False,COL,"W,10-4",52,39,10,14,8,1,0,10,11,0,16,1,0,1,0,0,0,0,0.25,0.323,0.42,0.744,15,11,R,D.Lamet(37),0.358974358974359,0.5,0.6153846153846154,1.1153846153846154
60,60,60,60,61,Jun 7,False,COL,"W,5-4",40,34,5,8,0,0,0,5,3,0,7,2,1,0,0,1,0,0,0.249,0.324,0.417,0.741,8,13,R,C.Seabold(62),0.23529411764705882,0.325,0.23529411764705882,0.5602941176470588
61,61,61,61,62,Jun 8,False,COL,"W,6-4",40,34,6,9,1,1,2,6,5,0,10,0,0,1,0,0,1,0,0.25,0.324,0.419,0.743,7,11,R,C.Anderson(50),0.2647058823529412,0.35,0.5294117647058824,0.8794117647058823
62,62,62,62,63,Jun 9,True,CHC,"L,2-3",36,32,2,7,2,0,0,2,4,0,9,0,0,0,0,2,0,0,0.249,0.324,0.417,0.741,7,11,R,M.Stroman(55),0.21875,0.3055555555555556,0.28125,0.5868055555555556
63,63,63,63,64,Jun 10,True,CHC,"L,0-4",29,28,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0.246,0.321,0.413,0.733,2,9,R,K.Hendricks(82),0.03571428571428571,0.06896551724137931,0.07142857142857142,0.14039408866995073
64,64,64,64,65,Jun 11,True,CHC,"W,13-3",44,37,13,15,3,0,4,13,5,0,6,1,0,1,0,1,0,0,0.249,0.324,0.419,0.743,7,9,R,H.Wesneski(34),0.40540540540540543,0.4772727272727273,0.8108108108108109,1.288083538083538
65,65,65,65,66,Jun 12,False,STL,"W,4-3",42,38,4,12,3,0,0,4,3,0,6,1,0,0,0,0,0,1,0.25,0.324,0.419,0.743,11,10,L,M.Liberatore(53),0.3157894736842105,0.38095238095238093,0.39473684210526316,0.7756892230576441
66,66,66,66,67,Jun 13,False,STL,"W,11-3",51,41,11,17,4,0,2,11,7,0,8,1,1,1,0,0,0,0,0.253,0.328,0.423,0.751,13,12,R,J.Flaherty(19),0.4146341463414634,0.49019607843137253,0.6585365853658537,1.1487326637972262
67,67,67,67,68,Jun 14,False,STL,"W,8-5",43,40,8,11,1,0,1,8,3,0,14,0,0,0,0,1,1,0,0.253,0.328,0.422,0.75,6,15,L,J.Montgomery(52),0.275,0.32558139534883723,0.375,0.7005813953488372
68,68,68,68,69,Jun 16,False,LAD,"W,7-5",48,39,7,8,0,0,1,7,6,1,8,2,0,1,0,1,1,0,0.253,0.328,0.42,0.748,10,12,R,E.Sheehan(73),0.20512820512820512,0.3333333333333333,0.28205128205128205,0.6153846153846154
69,69,69,69,70,Jun 17,False,LAD,"W,15-0",49,43,15,16,3,0,2,14,5,0,10,1,0,0,1,1,1,0,0.255,0.33,0.423,0.753,7,12,R,B.Miller(29),0.37209302325581395,0.4489795918367347,0.5813953488372093,1.030374940673944
70,70,70,70,71,Jun 18,False,LAD,"W,7-3",40,34,7,8,3,0,0,7,3,1,11,2,0,1,0,0,1,0,0.254,0.33,0.422,0.752,6,11,R,T.Gonsolin(33),0.23529411764705882,0.325,0.3235294117647059,0.6485294117647059
71,71,71,71,72,Jun 19,True,SDP,"W,7-4",41,32,7,6,0,0,3,6,7,1,4,0,1,1,0,0,0,0,0.254,0.33,0.422,0.752,7,13,R,M.Wacha(54),0.1875,0.3170731707317073,0.46875,0.7858231707317074
72,72,72,72,73,Jun 20,True,SDP,"W,4-3",37,32,4,8,2,0,1,3,5,0,6,0,0,0,0,2,0,0,0.254,0.33,0.422,0.752,7,11,R,S.Lugo(61),0.25,0.35135135135135137,0.40625,0.7576013513513513
73,73,73,73,74,Jun 21,True,SDP,"W,4-2",33,29,4,8,1,0,0,4,3,0,8,0,0,1,0,2,1,0,0.254,0.33,0.421,0.751,5,11,R,Y.Darvish(46),0.27586206896551724,0.3333333333333333,0.3103448275862069,0.6436781609195402
74,74,74,74,75,Jun 22,True,SDP,"L,0-10",30,30,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0.252,0.328,0.417,0.745,3,11,L,B.Snell(77),0.1,0.1,0.1,0.2
75,75,75,75,76,Jun 23,True,ARI,"W,8-5",39,35,8,12,4,0,1,8,4,0,7,0,0,0,0,1,0,0,0.253,0.329,0.419,0.748,7,10,R,Z.Davies(24),0.34285714285714286,0.41025641025641024,0.5428571428571428,0.9531135531135531
76,76,76,76,77,Jun 24,True,ARI,"W,7-6",36,32,7,10,2,1,1,7,2,0,7,1,0,1,1,1,0,0,0.254,0.329,0.42,0.749,5,11,R,M.Kelly(23),0.3125,0.3611111111111111,0.53125,0.8923611111111112
77,77,77,77,78,Jun 25,True,ARI,"L,2-5",38,33,2,6,1,0,0,2,5,0,9,0,0,0,0,0,0,0,0.253,0.329,0.417,0.746,9,10,R,R.Nelson(71),0.18181818181818182,0.2894736842105263,0.21212121212121213,0.5015948963317385
78,78,78,78,79,Jun 27,False,TOR,"W,3-0",34,32,3,6,2,0,0,3,2,0,13,0,0,0,0,1,1,0,0.252,0.328,0.415,0.743,4,10,R,K.Gausman(73),0.1875,0.23529411764705882,0.25,0.4852941176470588
79,79,79,79,80,Jun 28,False,TOR,"L,1-6",33,32,1,6,1,0,1,1,1,0,9,0,0,0,0,1,0,0,0.252,0.327,0.414,0.741,5,10,R,T.Richards(61),0.1875,0.21212121212121213,0.3125,0.5246212121212122
